id,text,user_id
1562970409682993153,"@EMERSON54962785 @luquinhas44_ Da onde que o Lula é igual o borsonario, bicho? 
Lula foi o maior conciliador do século XXI. O cara aperta a mão de todo mundo.",1101489249990443008
1562970409351254017,"@SF_Moro Declaro meu voto em Lula, bom ver vc sair desse processo todo do tamanho q cada um merece. Lula Presidente e vc cheio de processos.",220664507
1562970409321959425,"Lula desmontou a Globo, no ataque ao MST.
#VamosJuntosPeloBrasil 
#LulaNo1ºTurno https://t.co/ICNs5S6bXL",1195712936192495616
1562970409166782466,"Candidato presidenciável, Luís Inácio Lula da Silva, fala sobre ideais políticos diferentes e cita como exemplo os laterais, Rafinha, do São Paulo e Filipe Luís, do Flamengo | 25/08/2022. https://t.co/8JfGDLpdzh",1093916942539415552
1562970409112285184,"lula, uma gafe  e todo mundo falando dela....bolsonaro inúmeras gafes que nem dá p postar todas kkkkkkkkkkkkkkk",3059895567
1562970408969990150,"@LulaOficial Zé Dirceu explicando como o LULA e o PT ajudaram a implantar as DITADURAS COMUNISTAS.

https://t.co/6W9fsp36Ek",1516557671830376454
1562970408751869953,O Brasil na era Lula https://t.co/FJaJWxxszd https://t.co/rwGxXJV1ru,1419370718798794756
1562970408298524672,"empresas e empregos.
Em 2018, Lula foi impedido de lançar sua candidatura após ser condenado em segunda instância e preso no âmbito da operação Lava Jato. O ex-presidente foi solto em 2019, após decisão do Supremo Tribunal Federal (STF) que mudou o entendimento sobre a prisão em",802940342827880449
1562970408244367360,"LULA ESTADISTA!
#LulaPresidente13 @LulaOficial @geraldoalckmin ⭐️❤️",214743424
1562970408156274688,"A arte de tergiversar foi dada, 1° por Bolsonaro e depois potencializada por Lula.",3325965875
1562970407917207554,"lula kkkkkk VTNC, é nulo e fodase!",1002888811502800896
1562970407828762624,@ascanioseleme Foi por isso que Sérgio Moro tirou Lula tirou ele da eleição em 2018,1350563090744619009
1562970407531008002,Depois dessa entrevista do Lula no JN. É Lula lá!,333604377
1562970406910586881,O lula elogiando o Alkimin E DE FUDER,812655966898585600
1562970406705065984,"Lula tem que tomar no cu dele isso sim...
Vasco cheio de problema e ele querendo graça!",725111379267584002
1562970406482350080,"#LulaNoJN #LulaPresidente13 
Lula mostrou sua inteligência e carisma. https://t.co/TbRf7amaum",1445151271175004167
1562970406352351232,@SF_Moro lula é tudo menos coisas boas kkkk ele é a cara da #GloboLixo,1505629745794498564
1562970406335954950,"@CECLynch Achei:

https://t.co/fxMkRZuFw0",111975135
1562970406147215361,Se o lula foi inocentado eu sou o papai Noel né 🤡 velho ridículo kkkkkkkk só acredita nele quem tem preguiça de estudar e procurar saber oq realmente aconteceu,405614120
1562970405933301760,amo lula,1274157847174053888
1562970405450592258,Com Lula até o sensacionalista volta a ter graça :) https://t.co/Y4tZA6iGhn,994728036435144704
1562970405328994304,*No que tange ao LULA,1083893011090677760
1562970404846596097,Deus tá vendo que você faltou ao treino pra assistir o lula @biavalentev,1535432679205785600
1562970404826005504,MEU PRESIDENTE É LULA https://t.co/P5QiyuxKYC,1134914219839774720
1562970404804706305,"@taoquei1 Porque o o homem é bom oratória, fala para o povo e nao fica nervosinho atacando mulher. Resumindo, ele é Lula.",278004647
1562970404704370688,@andrelrpinto @mariabopp O interessante é que seu português é igual ao dele. Lula ladrão.,2718311077
1562970404666241024,"dia 01 de janeiro de 2023 presidente Lula em Brasília

faz o L // vai ser no primeiro turno// vagabundo https://t.co/Ldr0hW2xMh",1063946543697403904
1562970404515241984,"Lula, o maior https://t.co/9Pjz3yCf0j",1536139224159858688
1562970404435550213,@SandraNiskier @UOLNoticias Aqui aplaudiram o Lula no final. Serio.,40951695
1562970403542159363,"@BolsonaroSP Tô chorando.....
Que lindo.... Lula amor x ódio
#LulaNoJN",1486152653751078913
1562970403340836869,@Palmeiras_mari presidente Lula + Palmeiras = pau no cu do salnoraBo,759121474321981440
1562970403190222848,@DanielaLima_ Lula 1° turno,66231409
