id,text,user_id
1521265534708375552,"eu nunca lido com ansiedade ou medo d faze alguma coisa, eu n tô lidando bem com sentir isso aí eu dormi no meio do curso",1512093491496566788
1521265530019139586,eu fiz alguma coisa??,1458394302883762183
1521265529851371522,@seekzisgarb Em poa tem mt coisa pra fzr além do show do tue,883043363896872961
1521265527695581184,EU PENSEI A MESMA COISA AKKAKAKAKAKKKAKAKAK ELE CONFIRMADO NO FILME https://t.co/wFhG06MEJc,1280703118003654662
1521265526944763905,que coisa linda https://t.co/TdHc42GYyC,1105806370153156609
1521265525518737410,@s22luis eu só ensino coisa boa,3852272428
1521265524344250370,Uma pessoa sujeita-se a cada coisa,1445853060312469509
1521265523790602242,"Mas, hey mãe
Alguma coisa ficou pra trás
Antigamente eu sabia exatamente o que fazer 🎶🎶",1244714408313569287
1521265523341856768,mkkkkkkk ter ex medico tem que servir pra alguma coisa https://t.co/Lgpd8mtV1m,227815486
1521265519915110401,Várias coisa pra fazer e eu estou  fazendo a única que realmente importa: assistir o menininho do KOMODO DRAGONS ARE SPECIAL ANIMALS https://t.co/0zeELz3sJo,743039821883531264
1521265538923696129,"@rafakalimann_ estamos sempre aqui, independente de qualquer coisa nesse mundo 🤍",1306756415776870400
1521265538483331073,@louidotimao FOI A PRIMEIRA COISA Q VEIO NA MINHA MENTE,1520906237071740929
1521265534708375552,"eu nunca lido com ansiedade ou medo d faze alguma coisa, eu n tô lidando bem com sentir isso aí eu dormi no meio do curso",1512093491496566788
1521265530019139586,eu fiz alguma coisa??,1458394302883762183
1521265529851371522,@seekzisgarb Em poa tem mt coisa pra fzr além do show do tue,883043363896872961
1521265527695581184,EU PENSEI A MESMA COISA AKKAKAKAKAKKKAKAKAK ELE CONFIRMADO NO FILME https://t.co/wFhG06MEJc,1280703118003654662
1521265526944763905,que coisa linda https://t.co/TdHc42GYyC,1105806370153156609
1521265525518737410,@s22luis eu só ensino coisa boa,3852272428
1521265524344250370,Uma pessoa sujeita-se a cada coisa,1445853060312469509
1521265523790602242,"Mas, hey mãe
Alguma coisa ficou pra trás
Antigamente eu sabia exatamente o que fazer 🎶🎶",1244714408313569287
1521265538923696129,"@rafakalimann_ estamos sempre aqui, independente de qualquer coisa nesse mundo 🤍",1306756415776870400
1521265538483331073,@louidotimao FOI A PRIMEIRA COISA Q VEIO NA MINHA MENTE,1520906237071740929
1521265534708375552,"eu nunca lido com ansiedade ou medo d faze alguma coisa, eu n tô lidando bem com sentir isso aí eu dormi no meio do curso",1512093491496566788
1521265530019139586,eu fiz alguma coisa??,1458394302883762183
1521265529851371522,@seekzisgarb Em poa tem mt coisa pra fzr além do show do tue,883043363896872961
1521265527695581184,EU PENSEI A MESMA COISA AKKAKAKAKAKKKAKAKAK ELE CONFIRMADO NO FILME https://t.co/wFhG06MEJc,1280703118003654662
1521265526944763905,que coisa linda https://t.co/TdHc42GYyC,1105806370153156609
1521265525518737410,@s22luis eu só ensino coisa boa,3852272428
1521265524344250370,Uma pessoa sujeita-se a cada coisa,1445853060312469509
1521265523790602242,"Mas, hey mãe
Alguma coisa ficou pra trás
Antigamente eu sabia exatamente o que fazer 🎶🎶",1244714408313569287
